stockname,Mean_return,Standard_deviation,VAR_90,VAR_95,VAR_99,Beta
BAJAJELEC.NS,0.001834601,0.026837934,-0.02628265,-0.035485071,-0.061385122,0.968011664
BAJAJFINSV.NS,0.001723697,0.023354907,-0.022430965,-0.031137574,-0.055087066,1.326063526
BAJAJHLDNG.NS,0.000993356,0.020526098,-0.018400897,-0.02639152,-0.054891367,0.461421958
BAJFINANCE.NS,0.002126384,0.026175848,-0.023631714,-0.036636446,-0.072953624,1.489747031
BALRAMCHIN.NS,0.001067537,0.030162421,-0.032889768,-0.047043638,-0.069132187,0.72631094
BANDHANBNK.NS,0.00023178,0.03906489,-0.035288234,-0.049568884,-0.104803548,1.645258148
BANKBARODA.NS,0.000134024,0.029460337,-0.032086494,-0.041652011,-0.068130022,1.436970395
BASF.NS,0.000939325,0.024258442,-0.023815356,-0.031732489,-0.046948062,0.846349786
BATAINDIA.NS,0.00114843,0.018592922,-0.018073502,-0.025391467,-0.042027266,0.695658164
BBTC.NS,0.001461025,0.028667945,-0.024336366,-0.036339748,-0.05984076,0.88284499
BEL.NS,0.000560115,0.024442982,-0.025892135,-0.03414565,-0.059228706,0.933055499
BHARATFORG.NS,0.000709402,0.023964054,-0.022130236,-0.031756441,-0.060460942,0.99797342
BHARATRAS.NS,0.002420933,0.031560825,-0.026188885,-0.036592106,-0.064585636,0.649052539
BHARTIARTL.NS,0.000844836,0.021906339,-0.023111144,-0.032520806,-0.052290361,0.923820157
BIOCON.NS,0.001645209,0.022560383,-0.022308451,-0.032212177,-0.05469424,1.21318157
BIRLACORPN.NS,0.001005033,0.024831256,-0.02451761,-0.031731528,-0.058853798,0.891722409
BLUEDART.NS,-5.85E-05,0.020216107,-0.02060341,-0.028107379,-0.045831513,0.268806397
BOSCHLTD.NS,0.000223024,0.020129723,-0.020645847,-0.028191584,-0.053416338,1.024689468
BPCL.NS,0.000654323,0.024457212,-0.024326134,-0.032372842,-0.069508192,0.99251837
BRITANNIA.NS,0.000927625,0.016639806,-0.016211182,-0.022670196,-0.036827589,0.253559012
BSE.NS,-0.00041144,0.017907073,-0.018008119,-0.026490403,-0.044372688,0.681641917
BSOFT.NS,0.001439265,0.029117953,-0.028061143,-0.040176906,-0.074891054,0.780296803
CADILAHC.NS,0.000549248,0.021629603,-0.02300787,-0.031753031,-0.049682662,0.793564005
CAPLIPOINT.NS,0.001199608,0.031876731,-0.027685388,-0.040703317,-0.074242749,0.548141783
CASTROLIND.NS,-0.00011116,0.019469811,-0.021026199,-0.028868852,-0.044677672,0.382661215
